fct_date,fct_mean,cnty,horizon,method,step_ahead
2022-10-23,19.867427118696718,28,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,13.291779022670546,32,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,12.619384970536055,32,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,11.981005459312508,32,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,11.37491978818509,32,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,38.39999999999999,42,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,38.39999999999999,42,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,38.39999999999999,42,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,38.39999999999999,42,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,38.99999999999999,06,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,38.99999999999999,06,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,38.99999999999999,06,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,38.99999999999999,06,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,1.3814228114046296,16,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,0.9541644919345356,16,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,0.659052297495338,16,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,0.4552149388343451,16,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,0.0,38,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,0.0,38,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,0.0,38,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,0.0,38,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,8.399999999999999,40,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,8.399999999999999,40,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,8.399999999999999,40,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,8.399999999999999,40,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,0.7999999996794134,54,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,0.7999999996794134,54,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,0.7999999996794134,54,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,0.7999999996794134,54,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,8.199999999999998,29,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,8.199999999999998,29,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,8.199999999999998,29,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,8.199999999999998,29,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,2.7999999965206217,08,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,2.7999999965206217,08,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,2.7999999965206217,08,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,2.7999999965206217,08,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,0.9999999999999998,33,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,0.9999999999999998,33,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,0.9999999999999998,33,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,0.9999999999999998,33,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,28.39999999999999,18,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,28.39999999999999,18,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,28.39999999999999,18,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,28.39999999999999,18,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,3.2,19,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,3.2,19,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,3.2,19,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,3.2,19,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,0.7999999996794134,41,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,0.7999999996794134,41,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,0.7999999996794134,41,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,0.7999999996794134,41,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,4.581420903079524,15,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,4.197883498234799,15,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,3.8464542415011014,15,2022-09-25,ARIMA_LO,3-step_ahead
