cnty,horizon,method,fct_date,step_ahead,fct_mean,fct_std,true
36047,2021-11-28,AR_spatial,2021-12-05,1-step_ahead,3610.4746499529774,483.30252220954736,5438.0
48113,2021-11-28,AR_spatial,2021-12-05,1-step_ahead,2390.026150761542,200.3426904023993,3995.0
48201,2021-11-28,AR_spatial,2021-12-05,1-step_ahead,2534.311487285684,235.08970243611049,3374.0
04013,2021-11-21,AR_spatial,2021-11-28,1-step_ahead,15199.68892156582,1914.699810941182,14813.0
06037,2021-11-21,AR_spatial,2021-11-28,1-step_ahead,6257.567516933038,938.245729154419,9808.0
06059,2021-11-21,AR_spatial,2021-11-28,1-step_ahead,1101.3766723762926,97.74724433457044,2346.0
06065,2021-11-21,AR_spatial,2021-11-28,1-step_ahead,1793.8339567857845,186.5878820522316,4265.0
06073,2021-11-21,AR_spatial,2021-11-28,1-step_ahead,2493.507915680071,294.8990492431472,4474.0
17031,2021-11-21,AR_spatial,2021-11-28,1-step_ahead,6684.498541178405,600.349636182576,15183.0
36047,2021-11-21,AR_spatial,2021-11-28,1-step_ahead,3434.40803504994,483.1654900885168,3626.0
48113,2021-11-21,AR_spatial,2021-11-28,1-step_ahead,1061.8846779401708,53.26022417413886,4794.0
48201,2021-11-21,AR_spatial,2021-11-28,1-step_ahead,1672.5815663128033,178.6965729623698,1717.0
04013,2021-11-14,AR_spatial,2021-11-21,1-step_ahead,15580.345839686404,2150.055976240017,14944.0
06037,2021-11-14,AR_spatial,2021-11-21,1-step_ahead,8379.7910310676,1124.1051837375037,6180.0
06059,2021-11-14,AR_spatial,2021-11-21,1-step_ahead,1767.172602977573,189.41920501344785,1100.0
06065,2021-11-14,AR_spatial,2021-11-21,1-step_ahead,2133.888356531653,290.1881985590936,1854.0
06073,2021-11-14,AR_spatial,2021-11-21,1-step_ahead,2755.1499887529426,289.0929886299824,2487.0
17031,2021-11-14,AR_spatial,2021-11-21,1-step_ahead,8878.12657388112,828.1778996417285,6627.0
36047,2021-11-14,AR_spatial,2021-11-21,1-step_ahead,3139.6922990708345,377.08063693273215,3405.0
48113,2021-11-14,AR_spatial,2021-11-21,1-step_ahead,2158.043236903748,261.119690547946,1390.0
48201,2021-11-14,AR_spatial,2021-11-21,1-step_ahead,2731.044721065228,246.11563373062907,1896.0
04013,2021-11-07,AR_spatial,2021-11-14,1-step_ahead,15016.708928846352,2326.057481660768,15469.0
06037,2021-11-07,AR_spatial,2021-11-14,1-step_ahead,9001.958977620401,1073.7014267430586,8298.0
06059,2021-11-07,AR_spatial,2021-11-14,1-step_ahead,1886.119995960756,198.7185061007281,1757.0
06065,2021-11-07,AR_spatial,2021-11-14,1-step_ahead,3259.318640996933,382.2084858039878,2103.0
06073,2021-11-07,AR_spatial,2021-11-14,1-step_ahead,4436.968714600418,447.8811451874945,2744.0
17031,2021-11-07,AR_spatial,2021-11-14,1-step_ahead,7287.000599980212,635.7765082169418,8819.0
36047,2021-11-07,AR_spatial,2021-11-14,1-step_ahead,2698.558678961183,353.3747079427779,3091.0
48113,2021-11-07,AR_spatial,2021-11-14,1-step_ahead,2672.476592943091,231.1466161008904,2128.0
48201,2021-11-07,AR_spatial,2021-11-14,1-step_ahead,2388.945058666633,325.63459174672374,2642.0
04013,2021-10-31,AR_spatial,2021-11-07,1-step_ahead,12291.041596948226,1999.5907484477968,14793.0
06037,2021-10-31,AR_spatial,2021-11-07,1-step_ahead,9475.18820532672,847.1654516424776,8907.0
06059,2021-10-31,AR_spatial,2021-11-07,1-step_ahead,1994.2780778960027,240.40027993043893,1883.0
06065,2021-10-31,AR_spatial,2021-11-07,1-step_ahead,3007.665467923636,367.0100119389975,3301.0
06073,2021-10-31,AR_spatial,2021-11-07,1-step_ahead,3611.082966786053,443.9808316577912,4414.0
17031,2021-10-31,AR_spatial,2021-11-07,1-step_ahead,5694.380238414447,755.6294436751657,7275.0
36047,2021-10-31,AR_spatial,2021-11-07,1-step_ahead,2732.991792851711,318.1348320166085,2654.0
48113,2021-10-31,AR_spatial,2021-11-07,1-step_ahead,2026.8794566917863,179.55564064131522,2662.0
48201,2021-10-31,AR_spatial,2021-11-07,1-step_ahead,2810.233205283394,259.50835317577906,2641.0
04013,2021-10-24,AR_spatial,2021-10-31,1-step_ahead,10665.584589896778,1686.1494941846445,12122.0
06037,2021-10-24,AR_spatial,2021-10-31,1-step_ahead,8010.293873673969,920.3564183324615,9421.0
06059,2021-10-24,AR_spatial,2021-10-31,1-step_ahead,1968.025670752232,224.21640659192545,1964.0
06065,2021-10-24,AR_spatial,2021-10-31,1-step_ahead,3049.530038763221,330.54775780124817,3025.0
06073,2021-10-24,AR_spatial,2021-10-31,1-step_ahead,4036.6846704288414,550.2987188344566,3592.0
17031,2021-10-24,AR_spatial,2021-10-31,1-step_ahead,4997.858892521928,254.7720874983512,5654.0
36047,2021-10-24,AR_spatial,2021-10-31,1-step_ahead,2071.38427106783,246.2186014377779,2711.0
48113,2021-10-24,AR_spatial,2021-10-31,1-step_ahead,2614.190617520764,200.03720200157883,2019.0
48201,2021-10-24,AR_spatial,2021-10-31,1-step_ahead,3175.528926631521,428.0174119564521,2680.0
04013,2021-10-17,AR_spatial,2021-10-24,1-step_ahead,9559.15899297584,1304.53972168299,10518.0
06037,2021-10-17,AR_spatial,2021-10-24,1-step_ahead,8495.976864137872,1115.9530566763958,7914.0
06059,2021-10-17,AR_spatial,2021-10-24,1-step_ahead,1562.123777099374,240.2839534041916,1958.0
06065,2021-10-17,AR_spatial,2021-10-24,1-step_ahead,2341.137426480786,274.8740827333275,3045.0
06073,2021-10-17,AR_spatial,2021-10-24,1-step_ahead,3286.5894773679547,462.7343005093258,3988.0
17031,2021-10-17,AR_spatial,2021-10-24,1-step_ahead,5010.61413063659,562.0167414621872,5007.0
36047,2021-10-17,AR_spatial,2021-10-24,1-step_ahead,3113.109624197044,350.65174714671167,2067.0
48113,2021-10-17,AR_spatial,2021-10-24,1-step_ahead,3118.0785333318872,368.87315577533286,2615.0
48201,2021-10-17,AR_spatial,2021-10-24,1-step_ahead,3319.132843452136,280.7468450992838,3366.0
04013,2021-10-10,AR_spatial,2021-10-17,1-step_ahead,9646.36733404624,1309.0792193910836,9414.0
06037,2021-10-10,AR_spatial,2021-10-17,1-step_ahead,5934.71044820552,674.8704604483347,8498.0
06059,2021-10-10,AR_spatial,2021-10-17,1-step_ahead,1598.2637305889975,185.7528192952016,1547.0
06065,2021-10-10,AR_spatial,2021-10-17,1-step_ahead,2449.9964228387703,247.3564834583209,2332.0
06073,2021-10-10,AR_spatial,2021-10-17,1-step_ahead,3199.6928799038287,408.8192249467209,3113.0
17031,2021-10-10,AR_spatial,2021-10-17,1-step_ahead,4794.392146306939,409.9997845542044,5000.0
36047,2021-10-10,AR_spatial,2021-10-17,1-step_ahead,3548.1580535556504,391.6216754616604,3092.0
48113,2021-10-10,AR_spatial,2021-10-17,1-step_ahead,4147.8368669641895,369.726292601156,3094.0
48201,2021-10-10,AR_spatial,2021-10-17,1-step_ahead,5077.248880010106,598.8349176250515,3034.0
04013,2021-06-06,AR_spatial,2021-06-13,1-step_ahead,2403.038672000629,316.56084402854856,2139.0
06037,2021-06-06,AR_spatial,2021-06-13,1-step_ahead,1209.918484862486,129.0940777480925,1238.0
06059,2021-06-06,AR_spatial,2021-06-13,1-step_ahead,291.6759592670232,38.85419377490121,272.0
06065,2021-06-06,AR_spatial,2021-06-13,1-step_ahead,387.8895074881076,52.10477641288339,322.0
06073,2021-06-06,AR_spatial,2021-06-13,1-step_ahead,533.8780409832419,62.5887173500236,577.0
17031,2021-06-06,AR_spatial,2021-06-13,1-step_ahead,930.3979445575916,111.40647077398418,467.0
36047,2021-06-06,AR_spatial,2021-06-13,1-step_ahead,479.5044029391525,67.07679016362994,326.0
48113,2021-06-06,AR_spatial,2021-06-13,1-step_ahead,656.3244351227951,68.29234375680336,796.0
48201,2021-06-06,AR_spatial,2021-06-13,1-step_ahead,1576.1935247881142,174.92171528957618,458.0
04013,2021-05-30,AR_spatial,2021-06-06,1-step_ahead,1954.2509194150168,249.9756476185228,2370.0
06037,2021-05-30,AR_spatial,2021-06-06,1-step_ahead,1221.1757100998425,185.6664949785452,1206.0
06059,2021-05-30,AR_spatial,2021-06-06,1-step_ahead,304.29620558157643,38.92395802518252,289.0
06065,2021-05-30,AR_spatial,2021-06-06,1-step_ahead,228.6437482003784,27.20926058112812,290.0
06073,2021-05-30,AR_spatial,2021-06-06,1-step_ahead,532.5871020285317,78.5111164784048,615.0
17031,2021-05-30,AR_spatial,2021-06-06,1-step_ahead,1632.649126899856,161.6509449536096,921.0
36047,2021-05-30,AR_spatial,2021-06-06,1-step_ahead,464.8372516519783,50.62718053038882,477.0
48113,2021-05-30,AR_spatial,2021-06-06,1-step_ahead,644.2918046262922,43.414150246275966,746.0
48201,2021-05-30,AR_spatial,2021-06-06,1-step_ahead,1461.555025118738,124.8171286161438,1569.0
04013,2021-05-23,AR_spatial,2021-05-30,1-step_ahead,3077.7321505159503,398.6516389296624,1931.0
06037,2021-05-23,AR_spatial,2021-05-30,1-step_ahead,5166.538629568458,600.0293003311772,1205.0
